,0,LPS,chitin,elf,flg,nlp,OGs,pep
137,AT1G09150,0,0,0,1,0,0,0
138,AT1G09190,0,0,1,0,0,0,0
139,AT1G09220,0,0,0,1,0,0,0
140,AT1G09240,1,1,1,1,1,1,1
141,AT1G09310,0,0,0,1,1,0,0
142,AT1G09350,0,0,0,1,0,0,0
143,AT1G09390,1,1,1,1,1,1,1
144,AT1G09440,0,0,1,1,0,0,1
145,AT1G09460,0,0,0,0,0,0,1
146,AT1G09470,0,0,0,1,0,0,1
147,AT1G09540,0,0,0,0,0,0,1
148,AT1G09660,0,0,1,1,1,0,0
149,AT1G09710,0,0,1,1,0,0,0
150,AT1G09750,0,0,1,1,1,1,1
151,AT1G09800,0,0,0,1,1,1,1
152,AT1G09830,0,0,0,1,0,0,0
153,AT1G09900,0,0,1,1,1,0,1
154,AT1G10020,1,1,1,0,1,1,1
155,AT1G10330,0,0,0,0,0,1,0
156,AT1G10360,0,0,1,1,1,0,0
157,AT1G10380,0,0,0,0,0,0,1
158,AT1G10490,0,0,0,1,0,0,0
159,AT1G10522,0,0,1,1,1,0,1
160,AT1G10530,0,0,0,0,0,0,1
161,AT1G10540,0,0,1,1,0,0,0
162,AT1G10550,0,0,1,1,1,1,1
163,AT1G10640,0,0,1,1,1,1,1
164,AT1G10682,0,0,0,0,0,0,1
165,AT1G10690,0,0,0,1,0,0,0
166,AT1G10750,0,0,0,1,0,0,0
167,AT1G10760,0,0,0,1,0,0,0
168,AT1G10780,0,0,0,0,1,0,0
169,AT1G10820,0,0,0,1,0,0,0
170,AT1G10850,0,0,0,1,0,0,1
171,AT1G10910,0,0,1,1,1,0,1
172,AT1G10960,0,0,0,1,0,0,0
173,AT1G11070,0,1,1,1,1,1,1
174,AT1G11120,0,0,0,1,0,0,0
175,AT1G11130,0,0,0,1,1,0,1
176,AT1G11160,0,0,0,1,0,0,1
177,AT1G11290,0,0,1,1,0,0,1
178,AT1G11430,0,0,0,1,0,0,0
179,AT1G11440,0,0,0,0,0,1,0
