,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01070,0,0,1,1,0,0,1
1,AT1G01190,0,0,0,1,0,0,0
2,AT1G01240,0,0,1,0,0,0,0
3,AT1G01300,0,0,0,1,0,0,0
4,AT1G01320,0,0,1,1,1,0,1
5,AT1G01420,0,0,0,1,0,0,0
6,AT1G01430,0,1,1,1,1,1,0
7,AT1G01760,0,0,0,1,0,0,0
8,AT1G01770,0,0,1,0,0,0,0
9,AT1G01830,0,0,0,1,0,0,0
10,AT1G01860,0,0,1,1,1,0,1
11,AT1G01970,0,0,1,1,1,0,0
12,AT1G02150,0,0,1,1,0,0,0
13,AT1G02300,0,0,1,1,1,0,0
14,AT1G02340,0,1,0,0,0,0,0
15,AT1G02350,0,0,0,1,0,0,0
16,AT1G02370,0,0,1,1,1,1,0
17,AT1G02610,0,0,1,0,0,0,0
18,AT1G02640,0,0,0,0,0,0,1
19,AT1G02700,0,0,1,0,0,0,0
20,AT1G02710,0,0,1,1,0,0,0
21,AT1G02820,1,0,0,0,1,1,0
22,AT1G03055,0,0,1,1,0,0,0
23,AT1G03090,0,1,0,0,0,0,0
24,AT1G03130,1,0,1,1,1,1,1
25,AT1G03300,0,0,1,1,1,1,1
26,AT1G03310,0,0,1,1,1,1,0
27,AT1G03440,0,0,1,1,0,0,0
28,AT1G03530,0,0,0,1,0,0,0
29,AT1G03580,0,1,0,0,0,0,0
30,AT1G03600,0,0,1,1,0,0,0
31,AT1G03687,0,0,0,1,0,0,0
32,AT1G03820,0,0,0,1,0,0,0
33,AT1G03850,1,1,0,0,0,0,0
34,AT1G03870,0,0,1,1,1,1,1
35,AT1G04020,0,0,0,1,0,0,0
36,AT1G04040,0,0,1,1,1,1,0
37,AT1G04240,0,0,1,1,0,0,1
38,AT1G04350,0,0,1,1,0,0,0
39,AT1G04520,0,0,0,1,0,0,0
40,AT1G04550,0,0,1,1,0,0,0
41,AT1G04650,0,0,0,1,0,0,0
42,AT1G05140,0,0,1,1,1,0,0
43,AT1G05280,0,0,0,1,0,0,0
44,AT1G05385,0,0,0,1,0,0,0
45,AT1G05420,0,0,0,1,0,0,0
46,AT1G05460,0,0,1,1,1,0,0
47,AT1G05490,0,0,0,1,0,0,1
48,AT1G05540,0,0,0,0,0,0,1
49,AT1G05590,0,0,0,1,0,0,0
50,AT1G05600,0,0,0,1,0,0,0
51,AT1G05690,0,0,1,1,0,0,0
52,AT1G05860,0,0,0,1,0,0,0
53,AT1G06040,0,0,0,1,0,0,0
54,AT1G06240,0,0,1,0,1,0,0
55,AT1G06360,0,0,0,1,1,0,1
56,AT1G06475,0,0,0,1,0,0,0
57,AT1G06645,0,0,0,1,0,0,0
58,AT1G06790,0,0,0,1,0,0,0
59,AT1G06910,0,0,0,1,0,0,0
60,AT1G06980,1,0,1,0,1,1,1
61,AT1G07010,0,0,1,1,0,0,0
62,AT1G07050,0,0,1,1,0,0,0
63,AT1G07150,0,1,0,0,0,0,0
64,AT1G07180,0,1,0,0,1,1,1
65,AT1G07280,0,0,1,1,0,0,0
66,AT1G07290,0,0,0,1,0,0,0
67,AT1G07370,0,0,0,1,0,0,0
68,AT1G07450,0,1,1,1,1,1,1
69,AT1G07840,0,0,0,1,0,0,0
70,AT1G07970,0,0,0,1,0,0,0
71,AT1G08090,0,0,0,1,0,0,0
72,AT1G08180,0,0,1,1,0,0,0
73,AT1G08300,0,0,1,0,0,0,0
74,AT1G08380,0,0,1,0,0,0,0
75,AT1G08390,0,0,0,1,0,0,0
76,AT1G08540,0,0,1,1,0,0,0
77,AT1G08550,0,0,1,0,0,0,0
78,AT1G08590,0,0,0,1,0,0,0
79,AT1G08610,0,0,1,1,1,1,1
80,AT1G08890,0,1,0,0,0,0,0
81,AT1G08980,0,0,1,0,0,0,0
82,AT1G08990,0,0,0,0,0,1,0
83,AT1G09010,0,0,0,1,0,0,0
84,AT1G09240,1,1,1,1,1,1,0
85,AT1G09350,0,0,0,1,0,0,0
86,AT1G09390,0,1,1,1,1,0,0
87,AT1G09440,0,0,1,1,0,0,1
88,AT1G09460,0,0,0,0,0,0,1
89,AT1G09470,0,0,0,1,0,0,1
90,AT1G09540,0,0,0,0,0,0,1
91,AT1G09660,0,0,1,1,1,0,0
92,AT1G09710,0,0,1,1,0,0,0
93,AT1G09750,0,0,1,1,1,0,1
94,AT1G09800,0,0,0,0,1,1,1
95,AT1G09900,0,0,1,1,1,0,1
96,AT1G10020,0,0,1,0,0,0,0
97,AT1G10360,0,0,1,0,1,0,0
98,AT1G10380,0,0,0,0,0,0,1
99,AT1G10540,0,0,1,0,0,0,0
100,AT1G10550,0,0,1,1,1,1,1
101,AT1G10640,0,0,1,1,1,1,1
102,AT1G10820,0,0,0,1,0,0,0
103,AT1G10850,0,0,0,1,0,0,1
104,AT1G10910,0,0,1,1,1,0,1
105,AT1G10960,0,0,0,1,0,0,0
106,AT1G11070,0,1,1,1,1,0,1
107,AT1G11120,0,0,0,1,0,0,0
108,AT1G11545,0,0,1,1,1,1,1
109,AT1G11700,0,0,1,1,1,0,0
110,AT1G11720,0,0,1,0,0,1,0
111,AT1G11740,1,1,1,1,1,1,1
112,AT1G11850,0,0,0,0,0,0,1
113,AT1G12020,0,0,1,1,1,0,1
114,AT1G12060,0,0,1,1,0,0,0
115,AT1G12090,0,0,1,1,1,1,1
116,AT1G12100,0,0,1,0,0,0,0
117,AT1G12110,0,0,0,1,0,0,0
118,AT1G12240,0,0,1,0,0,0,0
119,AT1G12244,0,0,1,0,0,0,1
120,AT1G12300,0,0,0,1,0,0,0
121,AT1G12330,0,0,1,1,0,0,1
122,AT1G12450,0,0,1,0,0,0,0
123,AT1G12700,0,0,1,1,0,0,0
124,AT1G12845,0,0,1,1,1,0,1
125,AT1G12860,0,0,1,1,1,0,1
126,AT1G12900,0,0,1,0,0,0,0
127,AT1G12930,0,0,0,1,0,0,0
128,AT1G13090,0,0,0,1,0,0,0
129,AT1G13250,0,0,1,1,0,0,1
130,AT1G13650,0,0,1,1,1,1,1
131,AT1G13670,0,0,0,0,0,0,1
132,AT1G13700,0,0,0,1,1,0,0
133,AT1G13730,0,0,0,1,0,0,0
134,AT1G13920,0,0,1,0,0,0,0
135,AT1G13930,0,0,1,0,0,0,0
136,AT1G14150,0,0,1,1,0,0,1
137,AT1G14280,0,0,1,1,1,1,1
138,AT1G14345,0,0,1,1,1,1,1
139,AT1G14440,0,0,0,1,0,0,1
140,AT1G14520,0,0,1,0,1,1,0
141,AT1G14700,0,0,1,1,1,1,1
142,AT1G14840,0,0,1,1,0,0,0
143,AT1G14920,0,0,0,1,0,0,0
144,AT1G15000,0,0,1,1,0,0,1
145,AT1G15040,0,1,0,0,0,0,0
146,AT1G15080,0,0,1,0,0,0,1
147,AT1G15150,0,0,0,1,0,0,0
148,AT1G15160,0,0,1,1,0,0,0
149,AT1G15165,0,0,0,1,0,0,0
150,AT1G15175,1,0,1,1,1,0,1
151,AT1G15180,0,0,1,0,0,0,1
152,AT1G15215,0,0,1,1,0,0,1
153,AT1G15250,0,0,1,1,0,0,0
154,AT1G15260,0,0,1,1,1,1,1
155,AT1G15290,0,0,1,1,1,0,1
156,AT1G15410,0,0,1,0,0,0,0
157,AT1G15460,0,1,0,1,0,0,0
158,AT1G15510,0,0,1,1,1,0,1
159,AT1G15550,0,0,1,1,1,0,1
160,AT1G15820,1,0,1,1,1,1,1
161,AT1G15825,0,0,0,1,1,1,1
162,AT1G15830,0,0,1,0,1,1,1
163,AT1G15990,0,0,0,0,0,0,1
164,AT1G16020,0,0,0,1,0,0,0
165,AT1G16170,1,0,1,0,1,1,0
166,AT1G16280,0,0,0,1,0,0,0
167,AT1G16320,0,0,1,1,0,0,0
168,AT1G16390,0,0,0,0,1,0,1
169,AT1G16400,0,0,0,1,0,0,1
170,AT1G16410,0,0,1,1,1,0,1
171,AT1G16490,0,0,0,1,0,0,0
172,AT1G16515,0,0,0,1,0,0,0
173,AT1G16635,0,0,1,1,1,0,0
174,AT1G16680,0,0,0,1,0,0,0
175,AT1G16720,0,0,1,0,0,0,0
176,AT1G16730,0,0,0,1,0,0,0
177,AT1G16780,0,0,1,0,1,0,0
178,AT1G17100,0,0,1,1,0,0,0
179,AT1G17200,0,0,1,1,1,1,1
180,AT1G17430,0,0,0,1,0,0,0
181,AT1G17665,0,0,1,0,0,0,0
182,AT1G17700,0,0,0,0,0,0,1
183,AT1G17850,0,0,0,0,1,0,1
184,AT1G17970,0,0,1,1,1,0,1
185,AT1G18000,0,0,1,0,0,0,0
186,AT1G18010,0,0,1,0,0,0,0
187,AT1G18060,0,0,0,1,0,0,0
188,AT1G18090,0,0,0,0,1,0,0
189,AT1G18265,0,0,1,1,0,1,0
190,AT1G18400,0,0,0,1,0,0,1
191,AT1G18460,0,0,1,0,0,0,0
192,AT1G18610,0,0,0,1,0,0,0
193,AT1G18620,0,1,1,1,1,1,1
194,AT1G18650,0,0,1,1,1,1,1
195,AT1G18750,0,0,1,1,0,0,0
196,AT1G18810,1,1,1,1,0,1,0
197,AT1G19150,0,0,1,1,1,1,1
198,AT1G19350,0,0,1,1,1,0,0
199,AT1G19450,0,0,1,1,1,0,0
200,AT1G19715,0,0,1,1,1,0,0
201,AT1G19720,0,0,1,1,1,0,1
202,AT1G19740,0,0,1,1,0,0,0
203,AT1G19835,0,0,1,1,0,0,0
