,0,LPS,chitin,elf,flg,nlp,OGs,pep
137,AT1G09630,0,0,1,1,1,0,0
138,AT1G09645,0,0,1,1,1,0,0
139,AT1G09794,0,0,1,1,0,1,1
140,AT1G09932,1,1,1,1,1,1,1
141,AT1G09940,0,0,1,1,1,0,1
142,AT1G09970,1,1,1,1,1,1,1
143,AT1G10040,0,0,1,1,1,1,1
144,AT1G10050,0,0,1,1,1,1,1
145,AT1G10140,0,0,1,1,1,1,1
146,AT1G10150,0,0,0,1,0,0,0
147,AT1G10170,0,0,0,1,0,0,0
148,AT1G10290,0,0,0,1,0,0,0
149,AT1G10340,0,1,1,1,1,1,1
150,AT1G10370,0,0,1,1,0,1,0
151,AT1G10410,0,0,1,1,1,1,0
152,AT1G10417,1,1,1,1,1,1,1
153,AT1G10480,0,0,0,0,0,1,1
154,AT1G10560,0,0,0,1,0,0,0
155,AT1G10580,0,0,0,1,0,0,0
156,AT1G10585,0,0,1,1,1,1,0
157,AT1G10650,0,0,0,1,1,0,1
158,AT1G10700,0,0,1,1,1,0,0
159,AT1G10720,0,0,1,1,0,0,0
160,AT1G10740,0,0,0,1,0,0,0
161,AT1G10865,0,0,0,1,0,0,0
162,AT1G10900,0,0,1,1,0,0,0
163,AT1G10990,0,0,0,1,1,0,1
164,AT1G11000,0,0,0,1,0,0,0
165,AT1G11050,0,0,0,1,1,0,1
166,AT1G11100,0,0,1,1,1,1,1
167,AT1G11125,0,0,0,0,0,0,1
168,AT1G11185,0,0,1,1,1,1,1
169,AT1G11200,0,0,1,1,1,0,1
170,AT1G11300,0,1,1,1,1,0,1
171,AT1G11310,0,0,1,1,1,1,1
172,AT1G11330,0,1,1,0,1,0,1
173,AT1G11362,0,0,1,1,0,0,0
174,AT1G11370,0,0,0,1,0,0,0
175,AT1G11400,0,0,0,1,0,0,0
176,AT1G11670,0,0,0,0,0,0,1
177,AT1G11890,0,0,1,1,0,0,0
178,AT1G11905,0,0,0,1,0,0,0
179,AT1G11920,0,0,0,1,0,0,0
180,AT1G11925,0,0,1,1,1,0,1
181,AT1G12030,0,0,1,1,1,1,0
182,AT1G12180,0,0,1,1,0,0,0
183,AT1G12200,0,0,1,1,1,1,1
184,AT1G12210,0,0,0,1,1,0,0
185,AT1G12360,0,0,1,1,1,0,1
186,AT1G12420,0,0,1,1,1,0,0
187,AT1G12750,0,0,1,1,1,0,1
