,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01080,0,0,1,0,0,0,0
1,AT1G01170,0,0,1,0,0,0,0
2,AT1G01190,0,0,0,1,0,0,1
3,AT1G01300,0,0,0,1,0,0,0
4,AT1G01320,0,0,0,1,0,0,0
5,AT1G01380,0,0,0,1,0,0,0
6,AT1G01420,0,0,0,1,0,0,0
7,AT1G01430,0,0,0,1,1,0,0
8,AT1G01453,0,0,0,1,0,0,0
9,AT1G01620,0,0,1,0,0,1,1
10,AT1G01830,0,0,0,1,0,0,0
11,AT1G01860,0,0,1,1,0,0,1
12,AT1G01970,0,0,1,1,1,0,0
13,AT1G02060,0,0,0,1,0,0,0
14,AT1G02150,0,0,1,1,1,0,0
15,AT1G02180,0,0,1,1,0,1,0
16,AT1G02280,0,0,1,1,1,0,1
17,AT1G02300,0,0,0,1,0,0,0
18,AT1G02610,0,1,0,0,0,0,0
19,AT1G02640,1,0,1,0,0,0,0
20,AT1G02730,0,0,0,1,0,0,1
21,AT1G02820,1,0,0,0,0,0,0
22,AT1G03055,0,0,0,1,0,0,0
23,AT1G03090,0,1,0,0,0,0,0
24,AT1G03100,0,0,0,1,0,0,0
25,AT1G03120,0,0,0,1,0,0,0
26,AT1G03130,0,0,1,0,0,1,0
27,AT1G03160,0,0,0,1,0,0,0
28,AT1G03270,0,0,0,1,0,0,0
29,AT1G03300,0,0,1,1,1,0,0
30,AT1G03310,0,0,1,1,1,0,1
31,AT1G03340,0,0,0,1,0,0,0
32,AT1G03440,0,0,0,1,0,0,0
33,AT1G03540,0,0,0,1,0,0,0
34,AT1G03580,1,0,0,0,0,0,0
35,AT1G03600,0,0,1,1,1,0,1
36,AT1G03630,0,0,1,1,1,0,1
37,AT1G03687,0,0,0,1,0,0,0
38,AT1G03820,0,0,0,1,0,1,1
39,AT1G03830,0,0,0,1,0,0,0
40,AT1G03870,0,0,0,1,0,0,0
41,AT1G04040,0,0,0,1,1,1,1
42,AT1G04110,0,0,0,0,1,0,0
43,AT1G04160,0,0,0,1,0,0,0
44,AT1G04240,1,0,1,1,1,1,1
45,AT1G04250,0,0,0,0,0,0,1
46,AT1G04350,0,0,0,1,0,0,0
47,AT1G04430,0,0,0,1,0,0,0
48,AT1G04520,0,0,1,1,0,0,0
49,AT1G04640,0,0,0,1,0,0,0
50,AT1G04680,0,0,1,1,1,0,1
51,AT1G04760,0,0,1,0,0,0,1
52,AT1G04940,0,0,0,1,1,0,1
53,AT1G05140,0,0,0,1,0,0,0
54,AT1G05385,0,0,1,1,1,0,1
55,AT1G05420,0,0,0,1,1,0,0
56,AT1G05440,0,0,0,0,0,0,1
57,AT1G05460,0,0,1,1,0,0,0
58,AT1G05490,0,0,0,0,0,0,1
59,AT1G05540,0,0,0,0,0,0,1
60,AT1G05570,0,0,0,1,0,0,0
61,AT1G05590,0,0,0,1,1,0,0
62,AT1G05630,0,0,0,1,0,0,0
63,AT1G05700,0,0,0,0,0,0,1
64,AT1G05990,0,0,0,1,0,0,0
65,AT1G06150,0,0,0,1,0,0,0
66,AT1G06190,0,0,1,1,1,0,0
67,AT1G06240,0,0,0,1,0,0,0
68,AT1G06265,0,0,1,1,0,0,0
69,AT1G06350,0,0,1,1,0,1,1
70,AT1G06360,0,0,1,1,1,0,1
71,AT1G06460,0,0,0,1,0,0,0
72,AT1G06475,0,0,0,1,0,0,1
73,AT1G06560,0,0,1,1,0,0,0
74,AT1G06680,1,0,1,1,1,1,1
75,AT1G06710,0,0,0,1,0,0,0
76,AT1G06980,1,0,1,0,1,1,1
77,AT1G07010,0,0,0,1,0,0,0
78,AT1G07050,0,0,0,1,0,0,0
79,AT1G07070,0,0,1,1,1,0,1
80,AT1G07110,0,0,0,1,0,0,0
81,AT1G07180,0,0,0,1,1,0,0
82,AT1G07290,0,0,0,1,0,0,0
83,AT1G07320,0,0,1,0,0,0,0
84,AT1G07440,0,0,1,1,0,0,0
85,AT1G07450,0,1,1,1,1,1,1
86,AT1G07680,0,0,0,1,0,0,0
87,AT1G07720,0,0,0,1,1,0,0
88,AT1G08070,0,0,1,1,0,0,0
89,AT1G08090,0,0,1,1,0,0,1
90,AT1G08380,1,0,1,1,0,1,0
91,AT1G08520,0,0,1,0,0,0,0
92,AT1G08540,0,0,1,1,1,0,0
93,AT1G08550,0,0,1,1,1,0,0
94,AT1G08590,0,0,0,1,0,0,0
95,AT1G08610,0,0,1,1,1,0,1
96,AT1G08650,0,0,0,1,0,0,0
97,AT1G08730,0,0,0,0,1,0,0
98,AT1G08980,0,0,1,1,1,0,0
99,AT1G08990,0,0,0,1,0,0,0
100,AT1G09150,0,0,0,1,0,0,0
101,AT1G09190,0,0,1,0,0,0,0
102,AT1G09240,1,1,1,1,1,1,1
103,AT1G09310,0,0,0,1,1,0,0
104,AT1G09350,0,0,0,1,0,0,0
105,AT1G09390,1,0,0,0,1,1,1
106,AT1G09440,0,0,0,1,0,0,0
107,AT1G09660,0,0,0,1,0,0,0
108,AT1G09710,0,0,1,1,0,0,0
109,AT1G09750,0,0,1,1,1,1,1
110,AT1G09800,0,0,0,1,1,0,1
111,AT1G09830,0,0,0,1,0,0,0
112,AT1G09900,0,0,1,1,1,0,0
113,AT1G10360,0,0,1,1,1,0,0
114,AT1G10490,0,0,0,1,0,0,0
115,AT1G10522,0,0,1,1,1,0,1
116,AT1G10540,0,0,1,1,0,0,0
117,AT1G10550,0,0,0,1,1,0,1
118,AT1G10640,0,0,1,1,1,1,1
119,AT1G10682,0,0,0,0,0,0,1
120,AT1G10750,0,0,0,1,0,0,0
121,AT1G10760,0,0,0,1,0,0,0
122,AT1G10780,0,0,0,0,1,0,0
123,AT1G10850,0,0,0,1,0,0,0
124,AT1G10910,0,0,1,1,1,0,0
125,AT1G11070,0,0,1,1,1,1,1
126,AT1G11130,0,0,0,1,1,0,1
127,AT1G11160,0,0,0,1,0,0,1
128,AT1G11290,0,0,1,1,0,0,1
129,AT1G11430,0,0,0,1,0,0,0
130,AT1G11450,0,0,0,0,0,0,1
131,AT1G11545,0,0,1,1,1,1,1
132,AT1G11600,0,0,1,0,0,0,0
133,AT1G11700,0,0,0,1,0,0,0
134,AT1G11720,0,0,1,1,0,0,0
135,AT1G11730,0,0,1,0,0,0,0
136,AT1G11740,0,1,1,1,1,1,1
137,AT1G11820,0,0,0,0,0,0,1
138,AT1G11850,0,0,0,0,1,0,1
139,AT1G11860,0,0,1,1,0,0,0
140,AT1G12020,0,0,1,1,1,0,1
141,AT1G12060,0,0,0,1,0,0,1
142,AT1G12080,0,0,0,0,0,0,1
143,AT1G12090,0,0,1,1,1,1,1
144,AT1G12100,0,0,1,0,1,0,0
145,AT1G12240,0,0,1,1,1,1,1
146,AT1G12244,0,0,1,1,0,0,0
147,AT1G12330,0,0,0,1,0,0,0
148,AT1G12570,0,0,0,1,0,0,0
149,AT1G12630,0,0,0,1,0,0,0
150,AT1G12700,0,0,0,1,0,0,0
151,AT1G12740,0,0,0,1,0,0,1
152,AT1G12770,0,0,1,1,0,0,0
153,AT1G12805,0,1,1,0,1,0,0
