,0,LPS,chitin,elf,flg,nlp,OGs,pep
0,AT1G01120,0,0,0,0,0,0,1
1,AT1G01130,0,0,1,1,0,1,0
2,AT1G01140,0,0,0,0,0,1,0
3,AT1G01180,0,0,1,0,0,0,0
4,AT1G01225,0,0,1,1,0,0,0
5,AT1G01260,0,1,1,1,1,1,1
6,AT1G01340,1,1,1,1,1,1,1
7,AT1G01440,0,0,1,1,0,0,1
8,AT1G01470,0,0,0,0,0,1,0
9,AT1G01480,0,0,1,1,1,1,1
10,AT1G01550,0,0,1,1,0,0,1
11,AT1G01560,1,1,1,1,1,1,1
12,AT1G01720,0,0,0,0,0,1,0
13,AT1G01950,0,0,1,1,1,1,1
14,AT1G02170,0,0,1,1,0,1,1
15,AT1G02190,0,0,0,1,0,0,0
16,AT1G02310,0,0,0,0,0,1,1
17,AT1G02360,1,1,1,1,1,1,1
18,AT1G02390,0,0,0,0,0,1,0
19,AT1G02400,1,0,1,1,1,1,1
20,AT1G02405,0,0,1,0,0,1,1
21,AT1G02450,0,1,1,0,0,1,1
22,AT1G02660,0,0,1,1,1,1,1
23,AT1G02810,0,0,0,1,0,1,1
24,AT1G02860,0,0,1,0,0,1,0
25,AT1G02880,1,1,1,1,1,1,1
26,AT1G02920,0,1,1,1,1,1,1
27,AT1G02930,0,1,1,1,1,1,1
28,AT1G02940,0,0,1,0,0,1,0
29,AT1G03170,0,0,0,1,0,0,0
30,AT1G03220,0,1,1,1,1,1,1
31,AT1G03230,0,1,1,1,1,1,1
32,AT1G03370,1,1,1,1,1,1,1
33,AT1G03610,0,0,0,0,0,0,1
34,AT1G03660,0,0,0,0,0,1,0
35,AT1G03730,1,1,1,1,1,1,1
36,AT1G03740,1,1,1,1,1,1,1
37,AT1G03770,0,0,0,0,0,1,0
38,AT1G03905,0,1,1,1,0,1,1
39,AT1G04100,0,0,1,0,0,0,0
40,AT1G04200,0,0,0,0,0,1,0
41,AT1G04330,0,0,0,0,0,0,1
42,AT1G04360,0,0,0,0,0,0,1
43,AT1G04380,0,0,1,1,0,0,1
44,AT1G04490,0,0,1,1,1,1,1
45,AT1G04645,0,0,1,1,1,0,1
46,AT1G05020,0,0,0,1,0,0,0
47,AT1G05340,0,1,1,1,1,1,1
48,AT1G05370,0,0,1,0,0,0,1
49,AT1G05575,1,1,1,1,1,1,1
50,AT1G05630,0,0,1,0,0,0,0
51,AT1G05670,0,0,1,1,1,1,1
52,AT1G05675,0,0,0,0,1,0,0
53,AT1G05710,0,0,0,0,0,1,0
54,AT1G06130,0,0,1,1,0,1,0
55,AT1G06135,1,1,1,1,1,1,1
56,AT1G06140,0,0,1,1,1,0,1
57,AT1G06520,0,0,1,0,1,0,0
58,AT1G06830,0,0,1,0,0,0,0
59,AT1G06840,0,1,0,0,0,0,0
60,AT1G06970,0,0,0,1,0,0,0
61,AT1G07000,1,1,1,1,1,1,1
62,AT1G07128,0,0,1,1,0,0,1
63,AT1G07130,0,0,0,0,0,1,1
64,AT1G07135,1,1,1,1,1,1,1
65,AT1G07150,0,0,1,1,0,0,0
66,AT1G07160,1,1,1,0,1,1,1
67,AT1G07220,0,0,1,1,0,1,0
68,AT1G07240,0,0,0,1,0,0,0
69,AT1G07500,0,0,0,1,1,1,0
70,AT1G07520,1,1,1,1,1,1,1
71,AT1G07620,0,1,1,1,1,1,1
72,AT1G07630,0,1,1,1,0,0,1
73,AT1G07650,0,0,1,1,0,0,1
74,AT1G07660,0,0,1,1,0,1,0
75,AT1G07900,0,0,0,1,1,1,1
76,AT1G08050,0,1,1,0,1,1,1
77,AT1G08315,0,0,1,1,0,1,0
78,AT1G08450,0,1,1,1,1,1,1
79,AT1G08630,0,0,1,0,0,0,0
80,AT1G08720,0,0,0,0,0,1,0
81,AT1G08860,0,1,1,1,1,1,1
82,AT1G08930,1,1,1,1,1,1,1
83,AT1G08940,0,0,1,1,0,1,1
84,AT1G09060,0,0,1,1,0,1,1
85,AT1G09070,1,1,1,1,1,1,1
86,AT1G09575,0,0,1,0,0,1,0
87,AT1G09645,0,0,0,0,0,1,0
88,AT1G09930,0,0,1,1,1,1,1
89,AT1G09932,1,1,1,1,1,1,1
90,AT1G09940,1,1,1,1,1,1,1
91,AT1G09950,1,1,1,1,1,1,1
92,AT1G09970,0,1,0,0,0,1,1
93,AT1G09995,0,0,0,0,0,1,0
94,AT1G10040,0,1,1,1,0,1,1
95,AT1G10050,0,0,1,1,0,1,1
96,AT1G10340,1,1,1,1,1,1,1
97,AT1G10560,0,0,0,1,0,0,0
98,AT1G10650,0,0,1,1,0,1,1
99,AT1G10920,0,0,1,1,0,0,0
100,AT1G10990,0,0,0,1,0,0,0
101,AT1G11050,1,1,1,1,1,1,1
102,AT1G11200,0,1,1,1,1,1,1
103,AT1G11210,0,0,1,1,0,1,1
104,AT1G11300,0,0,1,1,0,0,1
105,AT1G11310,1,1,1,1,1,1,1
106,AT1G11320,0,0,0,1,0,0,0
107,AT1G11670,0,0,0,0,0,1,1
108,AT1G11920,0,0,0,1,0,0,0
109,AT1G11925,0,0,1,1,0,1,1
110,AT1G11960,0,0,1,1,0,1,1
111,AT1G12360,0,0,1,1,0,1,1
112,AT1G12580,0,1,1,1,1,1,1
113,AT1G12750,0,1,1,1,1,1,1
114,AT1G12760,0,0,0,0,0,0,1
115,AT1G12870,0,0,0,0,0,0,1
116,AT1G12880,0,0,1,0,0,0,0
117,AT1G13210,1,1,1,1,1,1,1
118,AT1G13260,0,0,1,1,0,0,0
119,AT1G13310,0,0,0,1,0,0,0
120,AT1G13340,1,1,1,1,1,1,1
121,AT1G13390,0,0,1,1,0,1,0
122,AT1G13470,0,1,1,0,1,1,0
123,AT1G13520,0,1,1,1,1,1,1
124,AT1G13530,0,1,0,1,0,1,1
125,AT1G13540,0,0,0,1,0,1,0
126,AT1G13550,0,0,1,1,0,1,1
